physicalelement_luid,nodeid,snapshotid,creationclassname,tag,caption,description,name,installdatetime,status,manufacturedate,manufacturer,otheridentifyinginfo,partnumber,poweredon,serialnumber,sku,version,slot_number,dc_location,dc_condition,dc_firmwarerevision,dc_hwlocation,dc_productid,model
2211908164741,1288,-1,CIM_PhysicalElement,Storage System 2.0,,,,,,,"",,,,"",,0,,,,"",,,""
2211908164754,1287,-1,CIM_PhysicalElement,Server Blade 39,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,7,SC9-CPP-PROD,,,,,
2211908164736,1287,-1,CIM_PhysicalElement,Server Blade 24,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,8,SC9-CPP-PROD,,,,,
2211908167772,996,-1,CIM_PhysicalElement,Server Blade 26,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,10,OSDC-MC1-F5-1,,,,,
2211908164742,1287,-1,CIM_PhysicalElement,Server Blade 29,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,13,SC9-CPP-PROD,,,,,
2211908167781,996,-1,CIM_PhysicalElement,Server Blade 35,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,3,OSDC-MC1-F5-1,,,,,
2211908164750,1287,-1,CIM_PhysicalElement,Server Blade 35,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,3,SC9-CPP-PROD,,,,,
2211908167793,996,-1,CIM_PhysicalElement,Server Blade 47,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,15,OSDC-MC1-F5-1,,,,,
2211908161077,1403,-1,CIM_PhysicalElement,Remote Insight Board 0,,Blade enclosure management processor,,,,,,,,,USE743707S,,,,,,,,,pciLightsOut100series (8)
2211908164757,1287,-1,CIM_PhysicalElement,Server Blade 42,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,10,SC9-CPP-PROD,,,,,
2211908164767,1288,-1,CIM_PhysicalElement,PCI Board 2.0,,,(Empty)-2.0,,,,,,,,,,,3,,,,,,
2211908164740,1287,-1,CIM_PhysicalElement,Server Blade 28,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,12,SC9-CPP-PROD,,,,,
2211908167774,996,-1,CIM_PhysicalElement,Server Blade 28,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,12,OSDC-MC1-F5-1,,,,,
