devicekey,devicename,description,ipaddress,macaddress,inputerrors,outputerrors,speed,ipv6address,duplex,fullduplex,interfacename,subnetmask,broadcastaddress,interfacestate,dhcpenabled,iplongvalue,snapshotid,operationalstatus,protocoltype,maxdatasize,porttype,manufacturer
1161,avamar2tape-ilo,HP NC324i PCIe Dual Port Gigabit Server Adapter,10.16.67.249,00:1F:29:13:81:D2,0,0,1000000000,,"",, ,255.255.255.0,,,,,-1,,,,,
1161,avamar2tape-ilo,VMware Virtual Ethernet Adapter for VMnet1,192.168.126.1,00:50:56:C0:00:01,0,0,100000000,,"",, ,255.255.255.0,,,,,-1,,,,,
1161,avamar2tape-ilo,VMware Virtual Ethernet Adapter for VMnet8,192.168.145.1,00:50:56:C0:00:08,0,0,100000000,,"",, ,255.255.255.0,,,,,-1,,,,,
1285,sc9-l06-oa1b,ip6tnl0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
1285,sc9-l06-oa1b,teql0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
1285,sc9-l06-oa1b,sit0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
1285,sc9-l06-oa1b,lo,127.0.0.1,"",0,0,10000000,,"",, ,255.0.0.0,,,,,-1,,,,,
1285,sc9-l06-oa1b,eth3,,00:1B:78:E4:9B:E5,0,0,10000000,,"",, ,,,,,,-1,,,,,
1285,sc9-l06-oa1b,elinkbr,169.254.1.15,00:1B:78:E4:9B:E5,0,0,10000000,,"",, ,255.255.0.0,,,,,-1,,,,,
1285,sc9-l06-oa1b,eth2,,00:1B:78:E4:CB:C8,0,0,10000000,,"",, ,,,,,,-1,,,,,
1285,sc9-l06-oa1b,eth0,169.254.0.1,00:1C:C4:14:C9:F2,0,0,100000000,,"",, ,255.255.255.0,,,,,-1,,,,,
1285,sc9-l06-oa1b,eth1,10.113.58.29,00:1C:C4:14:C9:F3,0,0,100000000,,"",, ,255.255.254.0,,,,,-1,,,,,
1285,sc9-l06-oa1b,udogbr,,00:1C:C4:14:C9:F3,0,0,10000000,,"",, ,,,,,,-1,,,,,
1287,sc9-l06-oa1a,ip6tnl0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
1287,sc9-l06-oa1a,teql0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
1287,sc9-l06-oa1a,sit0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
1287,sc9-l06-oa1a,lo,127.0.0.1,"",0,0,10000000,,"",, ,255.0.0.0,,,,,-1,,,,,
1287,sc9-l06-oa1a,elinkbr,169.254.1.15,00:1B:78:E4:9B:E5,0,0,10000000,,"",, ,255.255.0.0,,,,,-1,,,,,
1287,sc9-l06-oa1a,eth3,,00:1B:78:E4:9B:E5,0,0,10000000,,"",, ,,,,,,-1,,,,,
1287,sc9-l06-oa1a,eth2,,00:1B:78:E4:CB:C8,0,0,10000000,,"",, ,,,,,,-1,,,,,
1287,sc9-l06-oa1a,eth0,169.254.0.1,00:1C:C4:14:C9:F2,0,0,100000000,,"",, ,255.255.255.0,,,,,-1,,,,,
1287,sc9-l06-oa1a,eth1,10.113.58.29,00:1C:C4:14:C9:F3,0,0,100000000,,"",, ,255.255.254.0,,,,,-1,,,,,
1287,sc9-l06-oa1a,udogbr,,00:1C:C4:14:C9:F3,0,0,10000000,,"",, ,,,,,,-1,,,,,
1288,cpp-db01-ilo,HP Network Team #1,"10.113.60.31,10.113.60.70,10.113.60.71",00:1C:C4:15:1F:E2,0,0,1000000000,,"",, ,255.255.254.0,,,,,-1,,,,,
1288,cpp-db01-ilo,HP NC373m Multifunction Gigabit Server Adapter,192.168.100.1,00:1E:0B:92:23:32,0,0,1000000000,,"",, ,255.255.255.0,,,,,-1,,,,,
1320,communities-prod-app-1-ilo,lo,127.0.0.1,"",0,0,10000000,,"",, ,255.0.0.0,,,,,-1,,,,,
1320,communities-prod-app-1-ilo,sit0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
1320,communities-prod-app-1-ilo,eth0,10.113.62.81,00:1E:0B:5F:6F:88,0,0,1000000000,,"",, ,255.255.254.0,,,,,-1,,,,,
1320,communities-prod-app-1-ilo,eth1,,00:1E:0B:5F:6F:8E,0,0,10000000,,"",, ,,,,,,-1,,,,,
1321,communities-prod-app-2-ilo,sit0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
1321,communities-prod-app-2-ilo,lo,127.0.0.1,"",0,0,10000000,,"",, ,255.0.0.0,,,,,-1,,,,,
1321,communities-prod-app-2-ilo,eth0,10.113.62.82,00:1E:0B:5F:EA:38,0,0,1000000000,,"",, ,255.255.254.0,,,,,-1,,,,,
1321,communities-prod-app-2-ilo,eth1,,00:1E:0B:5F:EA:74,0,0,10000000,,"",, ,,,,,,-1,,,,,
1322,communities-prod-app-3-ilo,sit0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
1322,communities-prod-app-3-ilo,lo,127.0.0.1,"",0,0,10000000,,"",, ,255.0.0.0,,,,,-1,,,,,
1322,communities-prod-app-3-ilo,eth1,,00:1E:0B:5F:FE:30,0,0,10000000,,"",, ,,,,,,-1,,,,,
1322,communities-prod-app-3-ilo,eth0,10.113.62.83,00:1E:0B:5F:FE:3A,0,0,1000000000,,"",, ,255.255.254.0,,,,,-1,,,,,
1394,sc9-l07-oa1b,udogbr,,00:18:FE:8C:A8:0D,0,0,10000000,,,, ,,,,,,-1,,,,,
1394,sc9-l07-oa1b,elinkbr,169.254.1.92,00:19:BB:2C:B9:71,0,0,10000000,,,, ,255.255.0.0,,,,,-1,,,,,
1394,sc9-l07-oa1b,eth0,169.254.0.2,00:18:FE:8C:A8:0C,0,0,100000000,,,, ,255.255.255.0,,,,,-1,,,,,
1394,sc9-l07-oa1b,eth1,10.113.58.91,00:18:FE:8C:A8:0D,0,0,100000000,,,, ,255.255.254.0,,,,,-1,,,,,
1394,sc9-l07-oa1b,eth2,,00:19:BB:2C:B9:71,0,0,10000000,,,, ,,,,,,-1,,,,,
1394,sc9-l07-oa1b,eth3,,00:19:BB:2C:E9:E8,0,0,10000000,,,, ,,,,,,-1,,,,,
1394,sc9-l07-oa1b,lo,127.0.0.1,"",0,0,10000000,,,, ,255.0.0.0,,,,,-1,,,,,
1394,sc9-l07-oa1b,teql0,,"",0,0,0,,,, ,,,,,,-1,,,,,
1394,sc9-l07-oa1b,ip6tnl0,,"",0,0,0,,,, ,,,,,,-1,,,,,
1394,sc9-l07-oa1b,sit0,,"",0,0,0,,,, ,,,,,,-1,,,,,
1403,sc9-l07-oa1a,teql0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
1403,sc9-l07-oa1a,lo,127.0.0.1,"",0,0,10000000,,"",, ,255.0.0.0,,,,,-1,,,,,
1403,sc9-l07-oa1a,tunl0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
1403,sc9-l07-oa1a,elinkbr,169.254.1.86,00:1B:78:E4:6C:86,0,0,10000000,,"",, ,255.255.0.0,,,,,-1,,,,,
1403,sc9-l07-oa1a,eth2,,00:1B:78:E4:6C:86,0,0,10000000,,"",, ,,,,,,-1,,,,,
1403,sc9-l07-oa1a,eth3,,00:1B:78:E4:6C:A5,0,0,10000000,,"",, ,,,,,,-1,,,,,
1403,sc9-l07-oa1a,eth0,169.254.0.1,00:1C:C4:14:C9:CE,2,0,10000000,,"",, ,255.255.255.0,,,,,-1,,,,,
1403,sc9-l07-oa1a,eth1,10.113.58.90,00:1C:C4:14:C9:CF,0,0,10000000,,"",, ,255.255.254.0,,,,,-1,,,,,
1403,sc9-l07-oa1a,udogbr,,00:1C:C4:14:C9:CF,0,0,10000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,Null0,,"",0,0,4294967295,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/1,,00:1D:E6:0C:61:81,0,0,1000000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/2,,00:1D:E6:0C:61:82,0,0,1000000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/3,,00:1D:E6:0C:61:83,0,0,1000000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/4,,00:1D:E6:0C:61:84,0,0,10000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/5,,00:1D:E6:0C:61:85,0,0,10000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/6,,00:1D:E6:0C:61:86,0,0,10000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/7,,00:1D:E6:0C:61:87,0,0,10000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/8,,00:1D:E6:0C:61:88,0,0,10000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/9,,00:1D:E6:0C:61:89,0,0,1000000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/10,,00:1D:E6:0C:61:8A,0,0,1000000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/11,,00:1D:E6:0C:61:8B,0,0,1000000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/12,,00:1D:E6:0C:61:8C,0,0,10000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/13,,00:1D:E6:0C:61:8D,0,0,10000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/14,,00:1D:E6:0C:61:8E,0,0,10000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/15,,00:1D:E6:0C:61:8F,0,0,10000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/16,,00:1D:E6:0C:61:90,0,0,10000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/17,,00:1D:E6:0C:61:91,0,0,1000000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/18,,00:1D:E6:0C:61:92,0,0,10000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/19,,00:1D:E6:0C:61:93,1,0,1000000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/20,,00:1D:E6:0C:61:94,0,0,10000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/21,,00:1D:E6:0C:61:95,0,0,10000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/22,,00:1D:E6:0C:61:96,0,0,10000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/23,,00:1D:E6:0C:61:97,0,0,1000000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,GigabitEthernet0/24,,00:1D:E6:0C:61:98,0,0,1000000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,Port-channel1,,00:1D:E6:0C:61:98,0,0,2000000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,FastEthernet0,10.113.66.233,00:1D:E6:0C:61:B7,0,0,100000000,,"",, ,255.255.255.0,,,,,-1,,,,,
1584,10.113.66.233,Vlan1,,00:1D:E6:0C:61:C0,0,0,1000000000,,"",, ,,,,,,-1,,,,,
1584,10.113.66.233,Vlan3412,10.113.68.9,00:1D:E6:0C:61:C1,0,0,1000000000,,"",, ,255.255.255.0,,,,,-1,,,,,
2808,10.113.195.23,eth0,0,00:19:85:00:80:25,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
2814,10.113.195.21,eth0,0,00:19:85:00:80:12,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
2816,10.113.195.29,eth0,0,00:19:85:00:72:B9,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
2817,10.113.195.28,eth0,0,00:19:85:00:8F:26,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
2818,10.113.195.31,eth0,0,00:19:85:00:73:FE,0,0,10000000,,"",, ,255.255.248.0,,,,,-1,,,,,
