devicekey,name,guid,discovered,productsubtype,overallstatus,producttype,producttypestr,productname,timestamp,lockflags,fulldnsname,mxguid,discoveredname,durablename,wwname,subtype2,subtype3,subtype4,subtype5,subtype6,subtype7,subtype8,nodeluid,uniqueidentifier
279,USE850JB1K,443527USE850JB1K,1303328454758,HPProLiant,1,1,Server,ProLiant BL680c G5,1331879725320,0,"",00000050569801850000000300000117,USE850JB1K,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902167,35333434-3732-5355-4538-35304A42314B
263,10.128.202.47,ILO447707USE809964M,1303328453629,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331879725440,0,"",00000050569801850000000300000107,10.128.202.47,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902151,ILO447707USE809964M
280,USE809964M,447707USE809964M,1303328454826,HPProLiant,1,1,Server,ProLiant BL460c G1,1331879725490,0,"",00000050569801850000000300000118,USE809964M,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902168,37373434-3730-5355-4538-30393936344D
317,wdc-loadtest-vmg1-10-ilo,ILO443527USE852JLC8,1303328461680,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331879787978,0,wdc-loadtest-vmg1-10-ilo.vmware.com,0000005056980185000000030000013d,wdc-loadtest-vmg1-10-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902205,ILO443527USE852JLC8
334,USE850JB1H,443527USE850JB1H,1303328463731,HPProLiant,1,1,Server,ProLiant BL680c G5,1331879790589,0,"",0000005056980185000000030000014e,USE850JB1H,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902222,35333434-3732-5355-4538-35304A423148
319,wdc-loadtest-vmg1-12-ilo,ILO443527USE852JLC3,1303328461862,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331879792926,0,wdc-loadtest-vmg1-12-ilo.vmware.com,0000005056980185000000030000013f,wdc-loadtest-vmg1-12-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902207,ILO443527USE852JLC3
323,communities-lt-app-2-ilo,ILO403435USE7497JD7,1303328462483,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331879800816,0,communities-lt-app-2-ilo.vmware.com,00000050569801850000000300000143,communities-lt-app-2-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902211,ILO403435USE7497JD7
281,PZ73MV4591,435459PZ73MV4591,1303328454889,HPProLiant,1,1,Server,ProLiant BL460c G1,1331879726121,0,"",00000050569801850000000300000119,PZ73MV4591,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902169,34353334-3935-5A50-3733-4D5634353931
292,10.128.202.53,ILO443527USE852JLCA,1303328458587,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331879755952,0,"",00000050569801850000000300000124,10.128.202.53,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902180,ILO443527USE852JLCA
335,USE852JLC3,443527USE852JLC3,1303328463784,HPProLiant,1,1,Server,ProLiant BL680c G5,1331879792955,0,"",0000005056980185000000030000014f,USE852JLC3,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902223,35333434-3732-5355-4538-35324A4C4333
