vcserver,vmname,version,toolstatus,toolsversion,toolsrunningstatus
"vf-vcd-vc-01.vmware.com","2093578778-prod-ksdmmk-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1049043554-icew-src-prd-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0421091781-ora-sls-prd-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","ora-fbi-prd3-d1 (f95cc88f-7883-483c-a651-1bea01950180)","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1310090022-bi-bkg-prd-a1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0166865983-ora-bkg-prd-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1979119730-bi-fbi-lt-a1","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1481786189-ora-fbi-lt-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1879874876-s2-prod-icewm-2","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0149591968-bi-bu-prd-a2","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0368384415-s2-prod-icewm-1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0849237877-ora-fbi-prd-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0324555416-gss-prod-mysql-m2","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","gss-lt-mysql-s1 (9a7640c7-1a1f-445c-8b7f-fa00b4ba5368)","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","ora-fbi-prod1-d1 (7a49ba3d-f8dc-4931-95d5-0d4e4a8d1edb)","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1344218268-s2-lt-gsscm-1","v7","toolsOld","8295","guestToolsRunning"
