display_client_name,agent_version
"voip-telecomm.vmware.com","4.1.101-340"
"paul-dev-db","4.0.3-24"
"jabber.vmware.com","3.7.1-100"
"ora-pat-fmidm-1.vmware.com","4.0.3-24"
"sblgwprod3.vmware.com","4.0.3-24"
"dr-devphxapp01.vmware.com","3.7.1-100"
"wsus-app-1.vmware.com","4.0.3-24"
"ora-odiprod-d1.vmware.com","4.1.100-1470"
"vf-vcd-vc-n1.vmware.com","5.0.106-28"
"scripts-data.vmware.com","4.0.3-24"
"vmportal3-arch.vmware.com2011.02.25.15.18.42","4.1.101-340"
"ora-dev2-osb-a1.vmware.com","5.0.106-28"
"outsoft-dbdev.vmware.com","4.1.101-340"
"sblesvstage1.vmware.com","4.0.3-24"
"wave-eras-1.vmware.com","4.1.101-340"
"strm-tst-ora-db-1.vmware.com","4.1.100-1470"
"commit-prod-1.vmware.com","5.0.105-169"
"vmportal3-qry1.vmware.com","4.0.3-24"
"fbi-prod-app-1.vmware.com2011.02.12.15.11.40","4.1.101-340"
"knova-stg-andb1.vmware.com2008.05.29.15.38.56","3.7.1-100"
"oraprdcustbia01.vmware.com","4.0.3-24"
"rodney-dev-web","4.0.3-24"
"knova-prod-kb1.vmware.com","4.0.3-24"
"pa-opalis-prod2.vmware.com","4.1.101-340"
"vmstk-prod-1.vmware.com","5.0.105-169"
"rodney-dev-db","4.0.3-24"
"pa-navmgr02.vmware.com","4.1.101-340"
"knova-stg-andb1.vmware.com","3.7.1-100"
"ora-test-wlp-d1.vmware.com","4.1.100-1470"
"ora-perf-wlp-d1.vmware.com","4.1.100-1470"
"ora-stage-strm-d1.vmware.com","4.1.100-1470"
"pa-ipass01","4.1.101-340"
"zimbra-proxy-1.vmware.com","5.0.105-169"
"parootdc07.vmware.com","4.1.101-340"
"pa-vmportal3db1.vmware.com","3.7.1-100"
"jabber-prod-2.vmware.com2011.02.04.09.47.44","5.0.105-169"
"ora-beta-vi4-app-1.vmware.com","4.0.3-24"
"pa-vdm04.vmware.com","3.7.1-100"
"pa-zenoss-col-2.vmware.com","4.1.101-340"
"iwov-prod-teamsite-1.vmware.com","5.0.106-28"
"pa-labmgr.vmware.com","4.0.3-24"
"ora-test-siebel-d1.vmware.com","4.1.100-1470"
"dc-knova-kcc.vmware.com","4.0.3-24"
"ora-tst-fmsoa-a2.vmware.com","5.0.106-28"
"ivr-app02-prod.vmware.com","4.0.3-24"
"bes-sql-1.vmware.com","4.0.3-24"
"webops-lamp-1.vmware.com","3.7.1-100"
"ittools.vmware.com","3.7.1-100"
"dc-knova-andb.vmware.com","3.7.1-100"
"dc-knova-addb.vmware.com","3.7.1-100"
"ora-test-vi4-app-1.vmware.com","4.0.3-24"
"proxy145.vmware.com","5.0.105-169"
"vam-dev-akamai-proxy.vmware.com","4.1.101-340"
"pa-dfs02.vmware.com","4.1.101-340"
"sblgwprod1.vmware.com","4.0.3-24"
"flexlm-dev2app1.vmware.com","3.7.1-100"
"pa-filemaker01.vmware.com","4.1.101-340"
"pa-prmolap.vmware.com2008.06.05.17.41.29","3.7.1-100"
"sblcctstage4.vmware.com","4.0.3-24"
"pa-sharepoint01.vmware.com","3.7.1-100"
"mailhost2.vmware.com","5.0.105-169"
"knova-prod-kcc2.vmware.com","4.0.3-24"
"pa-backup3-old.vmware.com","3.7.1-100"
"store-stg2prm1.vmware.com","3.7.1-100"
"wsus-db-1","4.0.3-24"
"osdc-vmwprodr3.vmware.com","3.7.1-100"
"knova7-devdb.vmware.com","3.7.1-100"
"ts-cms.vmware.com","4.1.101-340"
"esvcwebprod1.vmware.com","4.1.101-340"
"osdc-stg-wlc04.vmware.com","3.7.1-100"
"ausit-p390.vmware.com","4.1.101-340"
"zimbra-mbox-1.vmware.com","5.0.105-169"
"ora-dev-interwoven-web-1.vmware.com","4.1.101-340"
"ora-dr-ebs-r1.vmware.com","4.1.100-1470"
"vmportal3-db2.vmware.com2011.02.26.10.35.43","4.1.101-340"
"osdc-pri-app-1.vmware.com2011.02.05.13.26.21","5.0.106-28"
"vf-vcd-vcdb-n2.vmware.com","5.0.106-28"
"vf-view-cs-02.vmware.com","5.0.106-28"
"vf-vcd-vcdb-n1.vmware.com","5.0.106-28"
"osdc-qaldrnr3.vmware.com","3.7.1-100"
"pa-sql01","4.1.101-340"
"portal-vmwperf-betan-3.vmware.com","4.1.101-340"
"odi-agentprod02.vmware.com","4.1.101-340"
"oraqacustbia01.vmware.com","4.0.3-24"
"opstools-mysql-1.vmware.com","5.0.106-28"
"ora-stage-strm-fmsoa-w1.vmware.com","4.1.100-1470"
"ora-stage-ebs-ccm-1.vmware.com","4.1.101-340"
"tapeoutcpp-fs01"," unKnown "
"ora-qa-dmhr-d1.vmware.com2011.02.07.08.39.19","4.0.3-24"
"it-vc-db-1.vmware.com","4.1.101-340"
"strm-tst-cry-1.vmware.com","4.0.3-24"
"psowiki-mysql-12011.02.07.08.22.36","3.7.1-100"
"nas-mylnweb.vmware.com","4.1.101-340"
"lmpimage2-rhel4.vmware.com","3.7.1-100"
"outsoft-dbqa.vmware.com","4.0.3-24"
"contest-dev.vmware.com","3.7.1-100"
"ftpsite.vmware.com","3.7.1-100"
"stageucma1","5.0.106-28"
"ora-dev-fmwsoax-a1.vmware.com","6.0.100-592"
"ora-dev2-fmwsoax-a1.vmware.com","6.0.100-592"
"test1234"," unKnown "
"outsoft-qa-app1.vmware.com","4.0.3-24"
"ora-test-fmwsoax-d1.vmware.com","6.0.100-592"
"eservice-1.vmware.com","3.7.1-100"
"sblcctstage2.vmware.com","4.0.3-24"
"cware-app1-prod.vmware.com2011.02.14.12.53.40","5.0.106-28"
"psa-iis-prod12011.02.14.14.14.50","4.0.3-24"
"pa-altiris-us.vmware.com","4.1.101-340"
"outsoft-qa-app2.vmware.com","4.0.3-24"
"newpa-monitor2.vmware.com","3.7.1-100"
"outsoft-qa.vmware.com","4.0.3-24"
"pa-sql04.vmware.com","5.0.106-28"
"outsoft-dev.vmware.com","4.0.3-24"
"rtse-d430.vmware.com","4.1.101-340"
"phxstore-sqldb1.vmware.com","3.7.1-100"
"eservice-sblprod-1.vmware.com2012.01.05.16.07.53","4.1.101-340"
"qa-edi.vmware.com","3.7.1-100"
"s2-perf-hhq-1.vmware.com","4.1.101-340"
"ora-dev2-ebs-d1.vmware.com","4.1.100-1470"
"ora-stage-strm-fmsoa-d1.vmware.com","4.1.100-1470"
"wpascual-d430.vmware.com","4.1.101-340"
"proxy144.vmware.com","5.0.105-169"
"srm-crp-db1.vmware.com","3.7.1-100"
"bedrock.vmware.com2011.02.04.10.10.36","4.1.101-340"
"knova7-qakss.vmware.com","3.7.1-100"
"osdc-wlcedi1.vmware.com","3.7.1-100"
"osdcwlcsandbox2.vmware.com","3.7.1-100"
"vmportal3-web2.vmware.com2011.02.22.14.23.45","3.7.1-100"
"ora-dev2-fmwsoax-d1.vmware.com","6.0.100-592"
"ora-prod-prietl-d1.vmware.com","4.1.100-1470"
"vmportal3-db5.vmware.com2011.03.19.11.32.57","4.1.101-340"
"web-world-2.vmware.com","4.1.101-340"
"webmysql-dev-1.vmware.com","3.7.1-100"
"avepoint01.vmware.com2011.02.25.15.19.06","4.1.101-340"
"store-testwlc3.vmware.com","3.7.1-100"
"ora-poc-hpperf-d1.vmware.com","4.1.100-1470"
"vmweb-prod-peopleprofile.vmware.com2011.03.07.13.39.29","4.1.101-340"
"sblcctprod4.vmware.com","4.0.3-24"
"vmweb-apache-ha-20.vmware.com2011.03.07.13.40.06","3.7.1-100"
"ora-prod-bipso-d1.vmware.com","4.1.100-1470"
"ora-lt-osb-a2.vmware.com","5.0.106-28"
"wlp-dev-patm-1.vmware.com","4.1.101-340"
"vmportal3-wfe1.vmware.com","5.0.106-28"
"ora-test2-ebs-r2.vmware.com","4.1.101-340"
"elpsis-prod-db.vmware.com","4.1.101-340"
"ecc-scope-1.vmware.com","4.0.3-24"
"ora-stage-strm-bi-d1.vmware.com","4.1.100-1470"
"salesorder-prod-lamp-1.vmware.com","5.0.105-169"
"ora-lt-osb-a1.vmware.com","5.0.106-28"
"osdc-srm-db-1.vmware.com","4.0.3-24"
"staging-www6.vmware.com","4.1.101-340"
"iweb-prod-mysql-1.vmware.com","4.1.101-340"
"wcm.vmware.com","3.7.1-100"
"obie-prod-edw1.vmware.com","4.1.101-340"
"parootdc08.vmware.com","5.0.106-28"
"time2.vmware.com","5.0.106-28"
"prmdev2.vmware.com","3.7.1-100"
"ora-prod-pri-db.vmware.com","4.1.100-1470"
"osdc-qaldrnr1.vmware.com","3.7.1-100"
"packages-stage.vmware.com","4.1.101-340"
"iweb-prod-proxy-1.vmware.com","4.1.101-340"
"staging-www1.vmware.com","4.1.101-340"
"store-stg2wsvc2.vmware.com","3.7.1-100"
"osdc-stgalpine.vmware.com","4.1.101-340"
"pa-vdm05.vmware.com","3.7.1-100"
"ora-dev-ucm-d1.vmware.com","5.0.106-28"
"emc-ppath-lic-1.vmware.com","4.1.101-340"
"osdc-splunk-index-1.vmware.com","4.1.101-340"
"interwoven-dev-db-1.vmware.com","4.1.101-340"
"portal-product-build-1.vmware.com","4.1.101-340"
"vmweb-wss-2.vmware.com","4.1.101-340"
"pa-dhcp02.vmware.com","4.0.3-24"
"portal-vmwperf-betan-2.vmware.com","4.1.101-340"
"knova-prod-kss1.vmware.com","4.0.3-24"
"ic-prod1.vmware.com","4.0.3-24"
"parootdc06.vmware.com","5.0.106-28"
"pa-mso-otrs01.vmware.com","4.1.101-340"
"knova-prod-addb.vmware.com","5.0.106-28"
"epo-app-1.vmware.com","4.0.3-24"
"osdc-qaldrnr2.vmware.com","5.0.106-28"
"mmreport.vmware.com","5.0.106-28"
"dnsmaster.vmware.com","4.1.101-340"
"pa-varonis01.vmware.com","4.1.101-340"
"lagrootdc01.vmware.com","4.1.101-340"
"splunk-1.vmware.com","5.0.106-28"
"pa-adc1.vmware.com","5.0.106-28"
"scomgr01.vmware.com","4.1.101-340"
"ivr-dd01-prod.vmware.com","4.1.101-340"
"iweb-prod-lamp-2.vmware.com","4.1.101-340"
"3210-dns-2.vmware.com","4.1.101-340"
"lumberjack.vmware.com","4.1.101-340"
"bitbucket.vmware.com","4.1.101-340"
"vadk-stage.vmware.com","3.7.1-100"
"www-htcheck.vmware.com","4.1.101-340"
"pa-backup06.vmware.com","4.1.101-340"
"partner-relay-1.vmware.com","5.0.105-169"
"prdint-odistn01.vmware.com","4.1.101-340"
"moss-dev-1.vmware.com","3.7.1-100"
"vmwdevlic.vmware.com","4.1.101-340"
"pa-dfs01.vmware.com","4.1.101-340"
"pa-backup05.vmware.com","4.1.101-340"
"wwwa-uat-mysql-1.vmware.com","3.7.1-100"
"osdc-kms-01","4.1.101-340"
"pa-backup02.vmware.com","4.0.3-24"
"ivr-tss01-prod.vmware.com","4.0.3-24"
"osoft-web2-prod.vmware.com","5.0.106-28"
"zimbra-bes-11.vmware.com","4.1.101-340"
"pa-backup3-751","4.1.101-340"
"sbldmzstage2","4.0.3-24"
"webdev-mysql-1.vmware.com","4.0.3-24"
"pa-zenoss-globe-1.vmware.com","4.0.3-24"
