vendor,vmhost,model,biosversion
"HP","wdc-devtest1-9.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest1-10.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest1-12.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest1-11.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest3-5.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest3-4.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest3-3.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest3-2.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest3-1.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest1-7.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest1-1.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest1-2.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest1-3.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest1-4.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest1-5.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-devtest1-6.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-itlab1-1.vmware.com","ProLiant BL680c G7","I25"
"HP","wdc-itlab1-2.vmware.com","ProLiant BL680c G7","I25"
"HP","wdc-itlab1-3.vmware.com","ProLiant BL680c G7","I25"
"HP","wdc-itlab1-4.vmware.com","ProLiant BL680c G7","I25"
"HP","wdc-itlab2-1.vmware.com","ProLiant BL460c G7","I27"
"HP","wdc-itlab2-2.vmware.com","ProLiant BL460c G7","I27"
"HP","wdc-loadtest-vmg1-1.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-loadtest-vmg1-10.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-loadtest-vmg1-12.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-loadtest-vmg1-11.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-loadtest-vmg1-2.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-loadtest-vmg1-3.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-loadtest-vmg1-5.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-loadtest-vmg1-6.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-loadtest-vmg1-7.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-loadtest-vmg1-8.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-loadtest-vmg1-9.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-loadtest-vmg1-4.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-lt-vmg1-1.vmware.com","ProLiant BL490c G7","I28"
"HP","wdc-lt-vmg1-2.vmware.com","ProLiant BL490c G7","I28"
"HP","wdc-lt-vmg1-3.vmware.com","ProLiant BL490c G7","I28"
