"timestamp","vcserver","cluster","vmhost","uuid","connectionstate","powerstate","vendor","model","memorysize","cpumodel","cpuhz","numcpupackages","numcpucores","numcputhreads","esxproductname","esxversion","esxbuild","serialnumber","biosversion"
"2011-11-21 02:05:30","wdc-srm-vc-2.vmware.com","wdc-mail-dr1","wdc-mail-dr1-3.vmware.com","36303337-3138-5553-4530-3431324d4c33","connected","poweredOn","HP","ProLiant BL460c G7","103066628096","Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz","2933436990","2","12","24","VMware ESX","4.1.0","348481",,"I27"
"2011-11-21 02:05:30","wdc-srm-vc-2.vmware.com","wdc-mail-dr1","wdc-mail-dr1-4.vmware.com","36303337-3138-5553-4530-3431324d4c38","connected","poweredOn","HP","ProLiant BL460c G7","103066628096","Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz","2933437012","2","12","24","VMware ESX","4.1.0","348481",,"I27"
"2011-11-21 02:05:30","wdc-srm-vc-2.vmware.com","wdc-mail-dr1","wdc-mail-dr1-5.vmware.com","36303337-3138-5553-4530-3431324d4b59","connected","poweredOn","HP","ProLiant BL460c G7","103066628096","Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz","2933436968","2","12","24","VMware ESX","4.1.0","348481",,"I27"
"2011-11-21 02:05:56","advantech-vc-1.vmware.com","atview-1","at-vmg1-1.vmware.com","34303530-3234-5553-4537-34343732524c","connected","poweredOn","HP","ProLiant BL685c G1","68717228032","Dual-Core AMD Opteron(tm) Processor 8218","2612035842","4","8","8","VMware ESXi","5.0.0","469512","USE74472RL","A08"
"2011-11-21 02:05:56","advantech-vc-1.vmware.com","atview-1","at-vmg1-2.vmware.com","34303530-3234-5553-4537-343437325258","connected","poweredOn","HP","ProLiant BL685c G1","68717162496","Dual-Core AMD Opteron(tm) Processor 8218","2612036024","4","8","8","VMware ESXi","5.0.0","469512","USE74472RX","A08"
"2011-11-21 02:05:56","advantech-vc-1.vmware.com","atview-1","at-vmg1-4.vmware.com","34303530-3234-7573-6537-343437327277","connected","poweredOn","HP","ProLiant BL685c G1","68717162496","Dual-Core AMD Opteron(tm) Processor 8218","2612035997","4","8","8","VMware ESXi","5.0.0","469512","use74472rw","A08"
"2011-11-21 02:05:56","advantech-vc-1.vmware.com","atview-1","at-vmg1-5.vmware.com","34303530-3234-5553-4537-343437325348","connected","poweredOn","HP","ProLiant BL685c G1","68717162496","Dual-Core AMD Opteron(tm) Processor 8218","2612035972","4","8","8","VMware ESXi","5.0.0","469512","USE74472SH","A08"
"2011-11-21 02:05:56","advantech-vc-1.vmware.com","atview-1","at-vmg1-6.vmware.com","34303530-3234-5553-4537-343437325346","connected","poweredOn","HP","ProLiant BL685c G1","68717162496","Dual-Core AMD Opteron(tm) Processor 8218","2612036038","4","8","8","VMware ESXi","5.0.0","469512","USE74472SF","A08"
"2011-11-21 02:05:56","advantech-vc-1.vmware.com","temp","at-vmg1-3.vmware.com","35313838-3738-5553-4530-343233324a45","connected","poweredOn","HP","ProLiant BL685c G7","274873356288","AMD Opteron(tm) Processor 6174","2199998688","4","48","48","VMware ESXi","5.0.0","469512","USE04232JE","A20"
"2011-11-21 02:06:11","lm-vc.vmware.com","wdc-labmanager1","wdc-labmanager1-2.vmware.com","34303530-3234-5553-4537-333836363646","connected","poweredOn","HP","ProLiant BL685c G1","68717699072","Dual-Core AMD Opteron(tm) Processor 8218","2612036583","4","8","8","VMware ESX","4.0.0","208167",,"A08"
