"vcserver","datacenter","vmhost","vmname","timestamp","username","eventmsg","tag","event_type"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-10.vmware.com","sc9-mevm3","2/3/2011 10:18:24 PM","VMWAREM\adm.acheung","Template sc9-mevm3 deployed on host sc9-prod-vmg4-10.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-2.vmware.com","sc9-mevm4","2/3/2011 10:18:53 PM","VMWAREM\adm.acheung","Template sc9-mevm4 deployed on host sc9-prod-vmg4-2.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-6.vmware.com","sc9-mevm5","2/3/2011 10:19:04 PM","VMWAREM\adm.acheung","Template sc9-mevm5 deployed on host sc9-prod-vmg4-6.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-10.vmware.com","sc9-mevm3","2/4/2011 3:52:43 PM","VMWAREM\adm.acheung","Removed sc9-mevm3 on sc9-prod-vmg4-10.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-8.vmware.com","sc9-mevm3","2/4/2011 4:07:16 PM","VMWAREM\adm.acheung","Template sc9-mevm3 deployed on host sc9-prod-vmg4-8.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-stg-vmg1-1.vmware.com","markp","2/4/2011 4:35:08 PM","VMWAREM\adm.mphilips","Clone of markp completed",,"VmClonedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-7.vmware.com","sc9-mevm3","2/4/2011 10:10:48 PM","VMWAREM\adm.acheung","Removed sc9-mevm3 on sc9-prod-vmg4-7.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-7.vmware.com","sc9-mevm3","2/4/2011 10:15:29 PM","VMWAREM\adm.acheung","Template sc9-mevm3 deployed on host sc9-prod-vmg4-7.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-5.vmware.com","exchrestore","2/4/2011 11:19:29 PM","VMWAREM\adm.acheung","Template exchrestore deployed on host sc9-prod-vmg4-5.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-9.vmware.com","exchrestore","2/4/2011 11:30:52 PM","VMWAREM\adm.acheung","Removed exchrestore on sc9-prod-vmg4-9.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-9.vmware.com","exchrestore","2/5/2011 12:21:49 AM","VMWAREM\adm.eoo","Template exchrestore deployed on host sc9-prod-vmg4-9.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg3-9.vmware.com","dw-ods-1","2/5/2011 10:06:32 PM","VMWAREM\jdeglau","Removed dw-ods-1 on osdc-vmg3-9.vmware.com from Palo Alto",,"VmRemovedEvent"
