ip,link_status,name,port_id,port_status,switch_present,wwnn,wwpn
10.113.89.205,Up,B,1,Online,YES,50:06:01:60:C6:E0:13:38,50:06:01:69:46:E0:13:38
10.113.89.205,Up,A,3,Online,YES,50:06:01:60:C6:E0:13:38,50:06:01:63:46:E0:13:38
10.113.89.205,Up,A,2,Online,YES,50:06:01:60:C6:E0:13:38,50:06:01:62:46:E0:13:38
10.113.89.205,Up,A,0,Online,YES,50:06:01:60:C6:E0:13:38,50:06:01:60:46:E0:13:38
10.113.89.205,Up,A,1,Online,YES,50:06:01:60:C6:E0:13:38,50:06:01:61:46:E0:13:38
10.113.89.205,Down,B,4,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00104401720.b4
10.113.89.205,Down,B,5,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00104401720.b5
10.113.89.205,Down,A,4,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00104401720.a4
10.113.89.205,Down,A,5,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00104401720.a5
10.128.200.160,Down,B,0,DISABLED,NO,50:06:01:60:BE:A0:26:F4,50:06:01:68:3E:A0:26:F4
10.128.200.160,Down,B,1,DISABLED,NO,50:06:01:60:BE:A0:26:F4,50:06:01:69:3E:A0:26:F4
10.128.200.160,Up,B,2,Online,NO,50:06:01:60:BE:A0:26:F4,50:06:01:6A:3E:A0:26:F4
10.128.200.160,Up,B,3,Online,NO,50:06:01:60:BE:A0:26:F4,50:06:01:6B:3E:A0:26:F4
10.128.200.160,Up,B,4,Online,YES,50:06:01:60:BE:A0:26:F4,50:06:01:6C:3E:A0:26:F4
10.128.200.160,Up,B,5,Online,YES,50:06:01:60:BE:A0:26:F4,50:06:01:6D:3E:A0:26:F4
10.128.200.160,Up,B,6,Online,YES,50:06:01:60:BE:A0:26:F4,50:06:01:6E:3E:A0:26:F4
10.128.200.160,Up,B,7,Online,YES,50:06:01:60:BE:A0:26:F4,50:06:01:6F:3E:A0:26:F4
10.128.200.160,Down,A,0,DISABLED,NO,50:06:01:60:BE:A0:26:F4,50:06:01:60:3E:A0:26:F4
10.128.200.160,Down,A,1,DISABLED,NO,50:06:01:60:BE:A0:26:F4,50:06:01:61:3E:A0:26:F4
10.128.200.160,Up,A,2,Online,NO,50:06:01:60:BE:A0:26:F4,50:06:01:62:3E:A0:26:F4
10.128.200.160,Up,A,3,Online,NO,50:06:01:60:BE:A0:26:F4,50:06:01:63:3E:A0:26:F4
10.128.200.160,Up,A,4,Online,YES,50:06:01:60:BE:A0:26:F4,50:06:01:64:3E:A0:26:F4
10.128.200.160,Up,A,5,Online,YES,50:06:01:60:BE:A0:26:F4,50:06:01:65:3E:A0:26:F4
10.128.200.160,Up,A,6,Online,YES,50:06:01:60:BE:A0:26:F4,50:06:01:66:3E:A0:26:F4
10.128.200.160,Up,A,7,Online,YES,50:06:01:60:BE:A0:26:F4,50:06:01:67:3E:A0:26:F4
10.128.201.31,Up,A,0,Online,YES,50:06:01:60:C1:E0:1C:EF,50:06:01:60:41:E0:1C:EF
10.128.201.31,Up,A,1,Online,YES,50:06:01:60:C1:E0:1C:EF,50:06:01:61:41:E0:1C:EF
10.128.201.31,Up,A,2,Online,YES,50:06:01:60:C1:E0:1C:EF,50:06:01:62:41:E0:1C:EF
10.128.201.31,Up,A,3,Online,YES,50:06:01:60:C1:E0:1C:EF,50:06:01:63:41:E0:1C:EF
10.128.201.31,Up,B,0,Online,YES,50:06:01:60:C1:E0:1C:EF,50:06:01:68:41:E0:1C:EF
10.128.201.31,Up,B,1,Online,YES,50:06:01:60:C1:E0:1C:EF,50:06:01:69:41:E0:1C:EF
10.128.201.31,Up,B,2,Online,YES,50:06:01:60:C1:E0:1C:EF,50:06:01:6A:41:E0:1C:EF
10.128.201.31,Up,B,3,Online,YES,50:06:01:60:C1:E0:1C:EF,50:06:01:6B:41:E0:1C:EF
10.128.204.64,Up,B,0,Online,YES,50:06:01:60:C6:E0:03:B3,50:06:01:68:46:E0:03:B3
10.128.204.64,Up,B,1,Online,YES,50:06:01:60:C6:E0:03:B3,50:06:01:69:46:E0:03:B3
10.128.204.64,Up,B,2,Online,YES,50:06:01:60:C6:E0:03:B3,50:06:01:6A:46:E0:03:B3
10.128.204.64,Up,B,3,Online,YES,50:06:01:60:C6:E0:03:B3,50:06:01:6B:46:E0:03:B3
10.128.204.64,Up,A,0,Online,YES,50:06:01:60:C6:E0:03:B3,50:06:01:60:46:E0:03:B3
10.128.204.64,Up,A,1,Online,YES,50:06:01:60:C6:E0:03:B3,50:06:01:61:46:E0:03:B3
10.128.204.64,Up,A,2,Online,YES,50:06:01:60:C6:E0:03:B3,50:06:01:62:46:E0:03:B3
10.128.204.64,Up,A,3,Online,YES,50:06:01:60:C6:E0:03:B3,50:06:01:63:46:E0:03:B3
10.128.205.21,Up,A,0,Online,YES,50:06:01:60:C1:E0:34:7F,50:06:01:60:41:E0:34:7F
