VM name,status,Date Created,OS,memGB,diskGB,IP,vApp name,vApp status,Application,Application Owner,Owner Email,OrgVDC,Organization,VM description,vApp description
CentOS-Test,PoweredOn,,CentOS 4/5/6/7 (64-bit),0.5,5,,Test-Srini-Oct30th,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
CentOS-Test,PoweredOn,,CentOS 4/5/6/7 (64-bit),0.5,5,10.127.239.99,CentOS-TestVM3,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
CentOS-Test,PoweredOff,,CentOS 4/5/6/7 (64-bit),0.5,5,192.168.2.100,GSS-MysqlDB,PoweredOff,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
CentOS-Test,PoweredOn,,CentOS 4/5/6/7 (64-bit),0.5,5,10.127.234.146,test-srini-7th-2,PoweredOn,,,,CorpIT-NonSDLC-Windows-PAYG1,corpit-nonsdlc,"",""
CentOS-Test,PoweredOn,,CentOS 4/5/6/7 (64-bit),0.5,5,10.127.240.148,OneCloud-CentOS-Test,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"","Safe to delete"
Centos-Test-Sept24,PoweredOn,,CentOS 4/5/6/7 (64-bit),0.5,5,10.127.234.108,test-NonsdlcWindows-Unni,PoweredOn,,,,CorpIT-NonSDLC-Windows-PAYG1,corpit-nonsdlc,"",""
Centos-Test-Sept24,PoweredOn,,CentOS 4/5/6/7 (64-bit),0.5,5,10.127.241.11,test-corpit-nonsdlc-Unni,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cf-dev-vco-1,PoweredOn,,SUSE Linux Enterprise 11 (64-bit),3,20,,vco,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"Automate tasks for VMware vSphere and enable orchestration between multiple solutions. VMware vCenter Orchestrator allows administrators to capture their best practices and turn them into automated workflows.",""
chenry-w2k3,PoweredOn,,Microsoft Windows Server 2003 (64-bit),1,12,10.127.234.65,chenry-w2k3,PoweredOn,,,,CorpIT-NonSDLC-Windows-PAYG1,corpit-nonsdlc,"Updated on 12/7",""
cia-dev-internalrep,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,113,10.127.242.138,vApp_WIKI,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"Project Name : Webteam wiki upgrade on Docker
Application Owner : Toby Leung
HN Ticket : TASK0113751
Built on : 2/17/2015",""
coll-poc-app-a1,PoweredOn,,CentOS 4/5/6/7 (64-bit),8,133,10.127.240.154,Collibra App,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
colo-db01-dev,PoweredOn,,Microsoft Windows Server 2008 (64-bit),6,650,10.127.239.51,colo-db01-dev,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
com-dev16-psql,PoweredOn,,CentOS 4/5/6/7 (64-bit),8,212,10.127.242.243,comm-dev16,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
com-dev16-sql-1,PoweredOn,,Microsoft Windows Server 2012 (64-bit),16,510,10.127.239.147,comm-dev16-db1,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
com-dev16-sql-2,PoweredOn,,Microsoft Windows Server 2012 (64-bit),16,510,10.127.239.148,comm-dev16-db1,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
COMM-BI-APP,PoweredOn,,Microsoft Windows Server 2008 R2 (64-bit),128,2000,10.127.234.213,COMM-BI-APP,PoweredOn,,,,CorpIT-NonSDLC-Windows-PAYG1,corpit-nonsdlc,"",""
comm-dev11-db1,PoweredOn,,Microsoft Windows Server 2008 (64-bit),8,285,10.127.239.120,Communities-DB_DEV11,PoweredOn,,,,CorpIT-NonSDLC-MSSQL-PAYG1,corpit-nonsdlc,"",""
