ip,port,name
10.113.160.123,8080,knova-prod-kss-pool
10.113.161.195,8080,knova-prod-kss-pool
10.113.161.196,8080,knova-prod-kss-pool
10.113.161.197,8080,knova-prod-kss-pool
10.113.161.198,8080,knova-prod-kss-pool
10.113.160.32,5222,jabber-prod-5222-pool
10.113.160.33,5222,jabber-prod-5222-pool
10.113.160.32,5280,jabber-prod-5280-pool
10.113.160.33,5280,jabber-prod-5280-pool
10.113.163.3,80,view-http-pool
10.113.163.4,80,view-http-pool
10.113.161.21,8443,hrzn-prod-ec-pool
10.113.161.22,8443,hrzn-prod-ec-pool
10.113.163.11,8443,hrzn-prod-ec-pool
10.113.89.104,443,view-test-pool
10.113.60.242,80,test-pool
10.113.161.145,80,test-pool
10.113.163.13,443,at-view-ssl-pool
10.113.163.14,443,at-view-ssl-pool
10.113.61.222,8080,cat-prod-mlne-8080-pool
10.113.61.223,8080,cat-prod-mlne-8080-pool
10.113.61.224,8080,cat-prod-mlne-8080-pool
10.113.61.225,8080,cat-prod-mlne-8080-pool
10.113.160.114,80,knova-prod-ikb-pool
10.113.160.115,80,knova-prod-ikb-pool
10.113.60.58,7003,pchmgmt-7003-pool
10.113.60.59,7003,pchmgmt-7003-pool
10.113.60.52,3306,vam-prod-mysql-pool-3
10.113.60.54,3306,vam-prod-mysql-pool-3
10.113.60.211,7009,wlp-prod-offpm-pool
10.113.60.212,7009,wlp-prod-offpm-pool
10.113.160.194,8443,zimbranew-pool
10.113.160.195,8443,zimbranew-pool
10.113.160.196,8443,zimbranew-pool
10.113.160.201,8443,zimbranew-pool
10.113.160.202,8443,zimbranew-pool
10.113.160.203,8443,zimbranew-pool
10.113.160.206,8443,zimbranew-pool
10.113.163.13,80,at-view-http-pool
10.113.163.14,80,at-view-http-pool
10.113.160.63,80,fbi-prod-pool
10.113.160.64,80,fbi-prod-pool
10.113.60.58,7004,pchmgmt-7004-pool
10.113.60.59,7004,pchmgmt-7004-pool
10.113.60.159,7004,pchmgmt-7004-pool
