name,ip,port,f5cluster_name
eclipse-prod-techpubs-vip-1,10.113.63.29,80,sc9-prod-stage-dmz-2
eclipse-prod-techpubs-ssl-vip,10.113.63.29,443,sc9-prod-stage-dmz-2
eclipse-prod-techpubs-8080-vip,10.113.63.29,8080,sc9-prod-stage-dmz-2
vault.vmware.com-SSL,10.113.63.162,443,sc9-prod-stage-dmz-2
web-prod-int-vip-vault-ssl,10.113.208.62,443,sc9-prod-stage-dmz-2
web-prod-int-vip-vault,10.113.208.62,80,sc9-prod-stage-dmz-2
wwwa-stage-web-vip-1b,10.113.54.57,80,sc9-prod-stage-dmz-2
partnerweb-prod-cva-ssl-vip,10.113.63.28,443,sc9-prod-stage-dmz-2
comm-stage-layer1-nonssl-vip,10.113.70.36,80,sc9-prod-stage-dmz-2
comm-stage-layer1-ssl-vip,10.113.70.36,443,sc9-prod-stage-dmz-2
esg-stage-ext-vip.vmware.com-8443,10.113.70.47,8443,sc9-prod-stage-dmz-2
esg-stage-ext-vip.vmware.com-443,10.113.70.47,443,sc9-prod-stage-dmz-2
esg-prod-ext-vip.vmware.com-8443,10.113.208.30,8443,sc9-prod-stage-dmz-2
esg-prod-ext-vip.vmware.com-443,10.113.208.30,443,sc9-prod-stage-dmz-2
awmag.vmware.com-2020-vip,10.113.62.229,2020,sc9-prod-stage-dmz-2
awmag.vmware.com-2010-vip,10.113.62.229,2010,sc9-prod-stage-dmz-2
awmag.vmware.com-443-vip,10.113.62.229,443,sc9-prod-stage-dmz-2
awseg-vip,10.113.62.232,443,sc9-prod-stage-dmz-2
stageapim-vip-8444,10.113.70.26,8444,sc9-prod-stage-dmz-2
stageapim-8445,10.113.70.26,443,sc9-prod-stage-dmz-2
prodapim-8445,10.113.208.31,443,sc9-prod-stage-dmz-2
prodapim-vip-8444,10.113.208.31,8444,sc9-prod-stage-dmz-2
rsaselfservice-ext-vip,10.113.63.122,443,sc9-prod-stage-dmz-2
lync-test-proxy,10.113.208.9,4443,sc9-prod-stage-dmz-2
lync-proxy-vip-80,10.113.208.9,80,sc9-prod-stage-dmz-2
lync-proxy-vip-443,10.113.208.9,443,sc9-prod-stage-dmz-2
lync-proxy2-vip-443,10.113.208.10,443,sc9-prod-stage-dmz-2
idmdatautility-stage-vip,10.113.208.101,80,sc9-prod-stage-dmz-2
prodrmqsslt-vip.vmware.com-5673,10.113.62.246,5673,sc9-prod-stage-dmz-2
prodrmqsslt-vip.vmware.com-5674,10.113.62.246,5674,sc9-prod-stage-dmz-2
optimize-preprod,10.113.62.170,443,sc9-prod-stage-dmz-2
sftp-stg-rs2-jscape,10.113.54.119,443,sc9-prod-stage-dmz-2
pds-stage-sftp-vip,10.113.54.119,22,sc9-prod-stage-dmz-2
cpp-vip,10.113.63.20,80,sc9-prod-stage-dmz-2
rsp-rsaproxy-vip,10.113.63.119,443,sc9-prod-stage-dmz-2
pds-dev-jscape-vip-11880,10.113.54.119,80,sc9-prod-stage-dmz-2
supplier-prod-vip,10.113.208.49,443,sc9-prod-stage-dmz-2
esg-prod-ext-vip-9443,10.113.208.30,9443,sc9-prod-stage-dmz-2
esg-stage-ext-vip,10.113.70.47,9443,sc9-prod-stage-dmz-2
pds-stage-jscape-vip-443,10.113.54.119,443,sc9-prod-stage-dmz-2
w-prod-int-vip-1,10.113.62.250,80,sc9-prod-stage-dmz-2
onecloud-prod-int-ssl-vip,10.113.62.250,443,sc9-prod-stage-dmz-2
ws-prod,10.113.62.144,443,sc9-prod-stage-dmz-2
prod-Account-vip,10.113.76.93,7031,sc9-tier1-prod-int-1
portal-prod-webgate-vip,10.113.76.119,80,sc9-tier1-prod-int-1
oracledisco-prod-vip,10.113.76.44,80,sc9-tier1-prod-int-1
prodsoa-vip,10.113.76.61,80,sc9-tier1-prod-int-1
s2-prod-admn2-vip.vmware.com,10.113.76.156,8211,sc9-tier1-prod-int-1
oraclereport-apps-vip,10.113.76.161,80,sc9-tier1-prod-int-1
prod-License-vip,10.113.76.98,7011,sc9-tier1-prod-int-1
prod-OEM-vip,10.113.76.99,7015,sc9-tier1-prod-int-1
prod-Support-vip,10.113.76.100,7019,sc9-tier1-prod-int-1
portal-prod-licn-vip,10.113.76.149,7007,sc9-tier1-prod-int-1
prodosb-vip,10.113.76.193,7777,sc9-tier1-prod-int-1
