name,lb_method,name,f5cluster_name
wwwa-stage-web-pool-1a,LEAST,CONNECTION_MEMBER,wwwa-stage-web-vip-1a,sc9-prod-stage-dmz-2
h-prod-pool,ROUND,ROBIN,h-prod-ext-vip,sc9-prod-stage-dmz-2
phon-prod-proxy-pool,ROUND,ROBIN,phon-prod-proxy-vip-ssl,sc9-prod-stage-dmz-2
h-prod-pool,ROUND,ROBIN,h-prod-int-vip,sc9-prod-stage-dmz-2
ceip-proxy-4-vcmupdate-https-pool,ROUND,ROBIN,vcmupdate-prod-proxy-https-vip,sc9-prod-stage-dmz-2
ceip-proxy-4-vcmupdate-http-pool,ROUND,ROBIN,vcmupdate-prod-proxy-http-vip,sc9-prod-stage-dmz-2
visl-prod-proxy-pool,ROUND,ROBIN,visl-prod-proxy-ssl-vip,sc9-prod-stage-dmz-2
psend-sftp-pool,ROUND,ROBIN,psend-ext-sftp-vip,sc9-prod-stage-dmz-2
ceip-prod-eng-pool,ROUND,ROBIN,ceip-prod-eng-http-vip,sc9-prod-stage-dmz-2
ceip-prod-eng-pool,ROUND,ROBIN,ceip-prod-eng-ssl-vip,sc9-prod-stage-dmz-2
psend-https-pool,ROUND,ROBIN,psend-ext-https-vip,sc9-prod-stage-dmz-2
ceip-stage-pool,ROUND,ROBIN,ceip-stage-vip,sc9-prod-stage-dmz-2
ceip-prod-pool,ROUND,ROBIN,ceip-prod-vip,sc9-prod-stage-dmz-2
ceip-prod-pool,ROUND,ROBIN,ceip-prod-ssl-vip,sc9-prod-stage-dmz-2
vmworld-prod-vip-2-pool,PREDICTIVE,MEMBER,vmworld-prod-ssl-vip-2,sc9-prod-stage-dmz-2
vmworld-prod-vip-2-pool,PREDICTIVE,MEMBER,vmworld-prod-vip-2,sc9-prod-stage-dmz-2
ceip-stage-pool,ROUND,ROBIN,ceip-stage-ssl-vip,sc9-prod-stage-dmz-2
tsend-rfc02927-http,ROUND,ROBIN,tsend-rfc02927-https,sc9-prod-stage-dmz-2
tsend-rfc02927-sftp,ROUND,ROBIN,tsend-rfc02927-sftp,sc9-prod-stage-dmz-2
tsend-rfc02927-http,ROUND,ROBIN,tsend-rfc02927-http,sc9-prod-stage-dmz-2
w-prod-pool,ROUND,ROBIN,w-prod-int-ssl-vip,sc9-prod-stage-dmz-2
w-prod-pool,ROUND,ROBIN,w-prod-ext-ssl-vip,sc9-prod-stage-dmz-2
cpb-pool,ROUND,ROBIN,cpb-ssl-vip,sc9-prod-stage-dmz-2
sfdc-stage-apache-pool-1,LEAST,CONNECTION_MEMBER,sfdc-stage-apache-7777-vip,sc9-prod-stage-dmz-2
sfdc-stage-apache-pool-1,LEAST,CONNECTION_MEMBER,sfdc-stage-apache-80-vip,sc9-prod-stage-dmz-2
eis-prod-locklizard-1-pool,ROUND,ROBIN,eis-prod-locklizard-ssl-vip,sc9-prod-stage-dmz-2
sfdc-stage-apache-pool-1,LEAST,CONNECTION_MEMBER,sfdc-stage-apache-vip-1,sc9-prod-stage-dmz-2
eis-prod-locklizard-1-pool,ROUND,ROBIN,eis-prod-locklizard-vip,sc9-prod-stage-dmz-2
sfdc-stage-wsv-int-pool,LEAST,CONNECTION_MEMBER,sfdc-stage-wsv-int-vip,sc9-prod-stage-dmz-2
ccred-pool,ROUND,ROBIN,ccred-int-ssl-vip,sc9-prod-stage-dmz-2
ccred-pool,ROUND,ROBIN,ccred-ext-ssl-vip,sc9-prod-stage-dmz-2
ccred-pool,ROUND,ROBIN,ccred-ext-vip,sc9-prod-stage-dmz-2
ccred-pool,ROUND,ROBIN,ccred-int-vip,sc9-prod-stage-dmz-2
optimize-trainingA-pool,ROUND,ROBIN,optimize-trainingA-ssl-vip,sc9-prod-stage-dmz-2
cpp-pool,ROUND,ROBIN,cpp-ssl-vip,sc9-prod-stage-dmz-2
optimize-trainingB-pool,ROUND,ROBIN,optimize-trainingB-ssl-vip,sc9-prod-stage-dmz-2
sc9-prod-gsa-int-80-pool-a,ROUND,ROBIN,sc9-prod-gsa-int-80-vip,sc9-prod-stage-dmz-2
partnerweb-prod-cva-pool,LEAST,CONNECTION_MEMBER,partnerweb-prod-cva-vip-1,sc9-prod-stage-dmz-2
communities-prod-pool,ROUND,ROBIN,communities-prod-vip,sc9-prod-stage-dmz-2
sc9-prod-gsa-int-443-pool,ROUND,ROBIN,sc9-prod-gsa-int-443-vip,sc9-prod-stage-dmz-2
ftpsite-ftp-pool,ROUND,ROBIN,ftpsite-int-ftp-vip,sc9-prod-stage-dmz-2
ftpsite-ftp-pool,ROUND,ROBIN,ftpsite-ftp-vip,sc9-prod-stage-dmz-2
ftpsite-https-pool,ROUND,ROBIN,ftpsite-https-vip,sc9-prod-stage-dmz-2
ftpsite-static-webserver-pool,ROUND,ROBIN,ftpsite-static-webserver-vip,sc9-prod-stage-dmz-2
ftpsite-https-pool,ROUND,ROBIN,ftpsite-int-https-vip,sc9-prod-stage-dmz-2
ftpsite-https-pool,ROUND,ROBIN,ftpsite-static-webserver-ssl-vip,sc9-prod-stage-dmz-2
sfdc-prod-wsv-pool,LEAST,CONNECTION_MEMBER,sfdc-prod-wsv-vip,sc9-prod-stage-dmz-2
sfdc-prod-apache-pool,ROUND,ROBIN,sfdc-prod-apache-vip-1,sc9-prod-stage-dmz-2
sfdc-prod-apache-pool,ROUND,ROBIN,sfdc-prod-apache-ssl-vip,sc9-prod-stage-dmz-2
upload-ssh-pool,ROUND,ROBIN,upload-ssh-vip,sc9-prod-stage-dmz-2
upload-pool,ROUND,ROBIN,upload-vip,sc9-prod-stage-dmz-2
zimbra-imap-pool-465,PREDICTIVE,MEMBER,zimbra-465-vip,sc9-prod-stage-dmz-2
www-zimbra-prod-web-pool,LEAST,CONNECTION_MEMBER,www-zimbra-prod-vip,sc9-prod-stage-dmz-2
zimbra-prod-ext-proxy-993-pool,ROUND,ROBIN,zimbra-prod-ext-proxy-993-vip,sc9-prod-stage-dmz-2
