name,ip,port,f5_cname,node_ip,node_port,pool_name,lb_method
/onecloud/psb-lt-ml-vip,10.148.233.7,8011,ltm-onecloud-1,10.148.238.55,8011,/onecloud/psb-lt-ml-vip-pool,ROUND,ROBIN
/onecloud/psb-lt-ml-vip,10.148.233.7,8011,ltm-onecloud-1,10.148.238.57,8011,/onecloud/psb-lt-ml-vip-pool,ROUND,ROBIN
/onecloud/psb-test11-ml-vip,10.148.232.229,8011,ltm-onecloud-1,10.148.236.82,8011,/onecloud/psb-test11-ml-vip-pool,ROUND,ROBIN
/onecloud/psb-test14-ml-vip,10.148.232.140,8001,ltm-onecloud-1,10.148.22.83,8011,/onecloud/psb-test14-ml-vip-pool,ROUND,ROBIN
/onecloud/psb-test14-ml-vip,10.148.232.140,8001,ltm-onecloud-1,10.148.22.83,8001,/onecloud/psb-test14-ml-vip-pool,ROUND,ROBIN
/onecloud/psb-test14-ml-vip,10.148.232.140,8001,ltm-onecloud-1,10.148.22.85,8001,/onecloud/psb-test14-ml-vip-pool,ROUND,ROBIN
/onecloud/s2-dev11-lr1-vip,10.148.232.108,8001,ltm-onecloud-1,10.148.238.37,8001,/onecloud/s2-dev11-lr1-vip-pool,ROUND,ROBIN
/onecloud/s2-dev11-lr1-vip,10.148.232.108,8001,ltm-onecloud-1,10.148.238.44,8001,/onecloud/s2-dev11-lr1-vip-pool,ROUND,ROBIN
/onecloud/s2-dev11-lr2-vip,10.148.232.109,8011,ltm-onecloud-1,10.148.238.37,8011,/onecloud/s2-dev11-lr2-vip-pool,ROUND,ROBIN
/onecloud/s2-dev11-lr2-vip,10.148.232.109,8011,ltm-onecloud-1,10.148.238.44,8011,/onecloud/s2-dev11-lr2-vip-pool,ROUND,ROBIN
/onecloud/s2-dev11-lr3-vip,10.148.232.112,8001,ltm-onecloud-1,10.148.238.36,8001,/onecloud/s2-dev11-lr3-vip-pool,ROUND,ROBIN
/onecloud/s2-dev11-lr3-vip,10.148.232.112,8001,ltm-onecloud-1,10.148.238.36,8011,/onecloud/s2-dev11-lr3-vip-pool,ROUND,ROBIN
/onecloud/s2-dev11-lr4-vip,10.148.232.124,8001,ltm-onecloud-1,10.148.238.48,8001,/onecloud/s2-dev11-lr4-vip-pool,ROUND,ROBIN
/onecloud/s2-dev11-lr4-vip,10.148.232.124,8001,ltm-onecloud-1,10.148.238.49,8001,/onecloud/s2-dev11-lr4-vip-pool,ROUND,ROBIN
/onecloud/s2-dev11-lr5-vip,10.148.232.125,8011,ltm-onecloud-1,10.148.238.48,8011,/onecloud/s2-dev11-lr5-vip-pool,ROUND,ROBIN
/onecloud/s2-dev11-lr5-vip,10.148.232.125,8011,ltm-onecloud-1,10.148.238.49,8011,/onecloud/s2-dev11-lr5-vip-pool,ROUND,ROBIN
/onecloud/s2-dev12-lr1-vip,10.148.232.117,8001,ltm-onecloud-1,10.148.239.40,8001,/onecloud/s2-dev12-lr1-vip-pool,ROUND,ROBIN
/onecloud/s2-dev12-lr1-vip,10.148.232.117,8001,ltm-onecloud-1,10.148.239.41,8001,/onecloud/s2-dev12-lr1-vip-pool,ROUND,ROBIN
/onecloud/s2-dev12-lr2-vip,10.148.232.118,8011,ltm-onecloud-1,10.148.239.40,8011,/onecloud/s2-dev12-lr2-vip-pool,ROUND,ROBIN
/onecloud/s2-dev12-lr2-vip,10.148.232.118,8011,ltm-onecloud-1,10.148.239.41,8011,/onecloud/s2-dev12-lr2-vip-pool,ROUND,ROBIN
/onecloud/s2-dev12-lr3-vip,10.148.232.119,8001,ltm-onecloud-1,10.148.239.39,8001,/onecloud/s2-dev12-lr3-vip-pool,ROUND,ROBIN
/onecloud/s2-dev12-lr3-vip,10.148.232.119,8001,ltm-onecloud-1,10.148.239.39,8011,/onecloud/s2-dev12-lr3-vip-pool,ROUND,ROBIN
/onecloud/s2-dev12-lr4-vip,10.148.232.121,8001,ltm-onecloud-1,10.148.239.53,8001,/onecloud/s2-dev12-lr4-vip-pool,ROUND,ROBIN
/onecloud/s2-dev12-lr4-vip,10.148.232.121,8001,ltm-onecloud-1,10.148.239.54,8001,/onecloud/s2-dev12-lr4-vip-pool,ROUND,ROBIN
/onecloud/s2-dev12-lr5-vip,10.148.232.123,8011,ltm-onecloud-1,10.148.239.53,8011,/onecloud/s2-dev12-lr5-vip-pool,ROUND,ROBIN
/onecloud/s2-dev12-lr5-vip,10.148.232.123,8011,ltm-onecloud-1,10.148.239.54,8011,/onecloud/s2-dev12-lr5-vip-pool,ROUND,ROBIN
/onecloud/s2-dev13-lr1-vip,10.148.233.18,8001,ltm-onecloud-1,10.148.52.40,8001,/onecloud/s2-dev13-lr1-vip-pool,ROUND,ROBIN
/onecloud/s2-dev13-lr1-vip,10.148.233.18,8001,ltm-onecloud-1,10.148.52.41,8001,/onecloud/s2-dev13-lr1-vip-pool,ROUND,ROBIN
/onecloud/s2-dev13-lr2-vip,10.148.233.19,8011,ltm-onecloud-1,10.148.52.40,8011,/onecloud/s2-dev13-lr2-vip-pool,ROUND,ROBIN
/onecloud/s2-dev13-lr2-vip,10.148.233.19,8011,ltm-onecloud-1,10.148.52.41,8011,/onecloud/s2-dev13-lr2-vip-pool,ROUND,ROBIN
