vendor	device	model	versiontype	version
avamar	dr-websvc01.store.ad	avamar client	version	3.7.1-100
avamar	dr-websvc02.store.ad	avamar client	version	3.7.1-100
avamar	drupal-cs-prod-dbmaster-1.vmware.com	avamar client	version	6.0.100-592
avamar	drupal-cs-prod-dbslave-1.vmware.com	avamar client	version	6.0.100-592
avamar	drupal-cs-prod-web-1.vmware.com	avamar client	version	5.0.106-28
avamar	drupal-tr-prod-dbmaster-1.vmware.com	avamar client	version	6.0.100-592
avamar	drupal-tr-prod-dbslave-1.vmware.com	avamar client	version	6.0.100-592
avamar	drupal-tr-prod-web-1.vmware.com	avamar client	version	6.0.100-592
avamar	durango.vmware.com	avamar client	version	3.7.1-100
avamar	dw-ods-1.vmware.com	avamar client	version	4.0.3-24
avamar	ebenjamin-hp.eng.vmware.com	avamar client	version	3.7.1-100
avamar	ecc-scope-1.vmware.com	avamar client	version	4.0.3-24
avamar	ecc-store-1.vmware.com	avamar client	version	4.0.3-24
avamar	ecc-svr-1.vmware.com	avamar client	version	4.0.3-24
avamar	eclipse-prod-techpubs-1.vmware.com	avamar client	version	6.0.100-592
avamar	eclipse-prod-techpubs-2.vmware.com	avamar client	version	6.0.100-592
avamar	edi-db.vmware.com	avamar client	version	3.7.1-100
avamar	edzilla.vmware.com	avamar client	version	3.7.1-100
avamar	effecta-db1	avamar client	version	4.1.101-340
avamar	eis-prod-atlas-1.vmware.com	avamar client	version	6.0.100-592
avamar	eis-prod-atlasdb-1.vmware.com	avamar client	version	6.0.100-592
avamar	eis-prod-edzilla-1.vmware.com	avamar client	version	5.0.106-28
avamar	eis-prod-edzilla-1.vmware.com	avamar client	version	4.1.101-340
avamar	eis-prod-locklizard-1.vmware.com	avamar client	version	6.0.100-592
avamar	eis-prod-mylnetl-1.vmware.com	avamar client	version	6.0.100-592
avamar	eis-prod-svn-1.vmware.com	avamar client	version	6.0.100-592
avamar	eis-svn.vmware.com	avamar client	version	3.7.1-100
avamar	eis-vueadmin	avamar client	version	4.1.101-340
avamar	eis-vueadmin	avamar client	version	6.0.100-592
avamar	eloqua-md-prod-lamp-1.vmware.com	avamar client	version	3.7.1-100
avamar	elpsis-prod-app.vmware.com	avamar client	version	4.1.101-340
avamar	elpsis-prod-db.vmware.com	avamar client	version	4.1.101-340
avamar	emc-dpa.vmware.com	avamar client	version	5.0.105-169
avamar	emc-ppath-lic-1.vmware.com	avamar client	version	4.1.101-340
avamar	eoo-390.vmware.com	avamar client	version	3.7.1-100
avamar	eoo-d420.vmware.com	avamar client	version	3.7.1-100
avamar	eoo-w08.vmware.com	avamar client	version	4.1.101-340
avamar	epo-app-1.vmware.com	avamar client	version	4.0.3-24
avamar	epo-app-1.vmware.com	avamar client	version	4.0.3-24
avamar	epo-db-1.vmware.com	avamar client	version	4.0.3-24
avamar	epo-db-1.vmware.com	avamar client	version	4.0.3-24
avamar	epo-reposit-1.vmware.com	avamar client	version	4.0.3-24
avamar	erikr-dev-db	avamar client	version	4.0.3-24
avamar	erikr-dev-web	avamar client	version	4.0.3-24
avamar	eservice-1.vmware.com	avamar client	version	3.7.1-100
avamar	eservice-sblprod-1.vmware.com2012.01.05.16.07.53	avamar client	version	4.1.101-340
avamar	eservice-sblprod-2.vmware.com2012.01.05.16.08.26	avamar client	version	4.1.101-340
avamar	eservice-sblstage-1.vmware.com2012.01.05.16.08.51	avamar client	version	4.1.101-340
avamar	eservice-sblstage-2.vmware.com2012.01.05.16.09.14	avamar client	version	4.1.101-340
avamar	esrsgateway.vmware.com	avamar client	version	5.0.105-169
avamar	esrspolicy.vmware.com	avamar client	version	5.0.105-169
avamar	esvcwebprod1.vmware.com	avamar client	version	4.1.101-340
avamar	esvcwebprod2	avamar client	version	4.1.101-340
avamar	exrecserv.recovery.com	avamar client	version	4.1.101-340
avamar	fbi-prod-app-1.vmware.com	avamar client	version	5.0.106-28
avamar	fbi-prod-app-1.vmware.com2011.02.12.15.11.40	avamar client	version	4.1.101-340
avamar	fbi-prod-app-2.vmware.com	avamar client	version	5.0.106-28
avamar	fbi-prod-app-2.vmware.com2011.02.11.19.26.09	avamar client	version	4.1.101-340
avamar	fbi-prod-app-3.vmware.com	avamar client	version	5.0.106-28
avamar	fbi-prod-app-3.vmware.com2011.02.11.19.26.20	avamar client	version	4.1.101-340
avamar	fbi-qa-app-2.vmware.com	avamar client	version	4.1.101-340
avamar	fin-booking-db.vmware.com	avamar client	version	4.1.101-340
avamar	flexlm-dev2app1.vmware.com	avamar client	version	3.7.1-100
avamar	flexlm-prod	avamar client	version	3.7.1-100
avamar	flexlm-prod03.vmware.com	avamar client	version	3.7.1-100
avamar	fmw-build-1.vmware.com	avamar client	version	6.0.100-592
avamar	fmw-build-1.vmware.com	avamar client	version	4.1.101-340
avamar	ftps.vmware.com	avamar client	version	5.0.105-169
avamar	ftpsite-prod-1.vmware.com	avamar client	version	6.0.100-592
avamar	ftpsite-prod-2.vmware.com	avamar client	version	6.0.100-592
avamar	ftpsite.vmware.com	avamar client	version	3.7.1-100
avamar	gemstone-prod-apps1.vmware.com	avamar client	version	6.0.100-592
avamar	gemstone-prod-apps2.vmware.com	avamar client	version	6.0.100-592
avamar	gemstone-prod-community-p1.vmware.com	avamar client	version	6.0.100-592
avamar	gemstone-prod-database1.vmware.com	avamar client	version	6.0.100-592
avamar	gemstone-prod-ftp.vmware.com	avamar client	version	6.0.100-592
avamar	gemstone-prod-proxy1.vmware.com	avamar client	version	6.0.100-592
avamar	gemstone-prod-proxy2.vmware.com	avamar client	version	6.0.100-592
avamar	govirtual-jive-1.vmware.com	avamar client	version	3.7.1-100
avamar	govirtual-jive-dev-1.vmware.com	avamar client	version	3.7.1-100
avamar	govirtual-prod-jive-10.vmware.com	avamar client	version	6.0.100-592
avamar	govirtual-prod-lamp-1.vmware.com	avamar client	version	6.0.100-592
avamar	gss-pr-mysql-m2.vmware.com	avamar client	version	5.0.106-28
avamar	gss-prod-e2c-1.vmware.com	avamar client	version	5.0.106-28
avamar	gss-prod-mysql-1.vmware.com	avamar client	version	6.0.100-592
avamar	gss-prod-mysql-2.vmware.com	avamar client	version	6.0.100-592
avamar	gss-propero-wiki.vmware.com	avamar client	version	4.1.101-340
avamar	gss-proxy-1.vmware.com	avamar client	version	3.7.1-100
avamar	gss-proxy-2.vmware.com	avamar client	version	3.7.1-100
avamar	gss-srch-db1.vmware.com	avamar client	version	5.0.106-28
avamar	gss-srch-db1.vmware.com2011.03.19.11.57.36	avamar client	version	4.1.101-340
avamar	gss-srch-web1.vmware.com	avamar client	version	4.1.101-340
avamar	ic-prod1.vmware.com	avamar client	version	4.0.3-24
avamar	ic-prod2.vmware.com	avamar client	version	4.0.3-24
avamar	ic-proddb.vmware.com	avamar client	version	5.0.106-28
avamar	inf-prod-app-1.vmware.com	avamar client	version	6.0.100-592
avamar	inf-prod-app-2.vmware.com	avamar client	version	6.0.100-592
avamar	interwoven-dev-db-1.vmware.com	avamar client	version	4.1.101-340
avamar	interwoven-dev-db-1.vmware.com	avamar client	version	4.1.101-340
avamar	interwoven-dev-search-1.vmware.com	avamar client	version	4.1.101-340
avamar	interwoven-dev-teamsite-1.vmware.com	avamar client	version	4.1.101-340
avamar	ionix-web1	avamar client	version	6.0.100-592
avamar	isarkis2-d420.vmware.com	avamar client	version	4.1.101-340
avamar	it-capacity-win.vmware.com	avamar client	version	6.0.100-592
avamar	it-vc-1.vmware.com	avamar client	version	4.0.3-24
avamar	it-vc-db-1.vmware.com	avamar client	version	4.1.101-340
avamar	it-vc-db-12009.10.01.15.10.09	avamar client	version	unKnown 
avamar	itopsdocs.vmware.com	avamar client	version	5.0.105-169
avamar	ittools	avamar client	version	unKnown 
avamar	ittools-app-1.vmware.com	avamar client	version	3.7.1-100
avamar	ittools-app-2.vmware.com	avamar client	version	5.0.105-169
avamar	ittools-mysql-1.vmware.com	avamar client	version	3.7.1-100
avamar	ittools.vmware.com	avamar client	version	3.7.1-100
avamar	ivr-app01-prod.vmware.com	avamar client	version	4.0.3-24
avamar	ivr-app02-prod.vmware.com	avamar client	version	4.0.3-24
avamar	ivr-dd01-prod.vmware.com	avamar client	version	4.1.101-340
avamar	ivr-tss01-prod.vmware.com	avamar client	version	4.0.3-24
avamar	iweb-prod-lamp-1.vmware.com	avamar client	version	4.1.101-340
