vendor	model	versiontype	version
emc	STT14685 CLAR146	array disk productRev	630F
emc	STT14685 CLAR146	array disk productRev	6310
emc	STT14685 CLAR146	array disk productRev	6316
emc	STT30065 CLAR300	array disk productRev	630F
emc	STT30065 CLAR300	array disk productRev	6310
emc	STT33009 CLAR300	array disk productRev	C001
emc	STT33009 CLAR300	array disk productRev	C003
emc	STT33009 CLAR300	array disk productRev	C00A
emc	STT33009 CLAR300	array disk productRev	E80A
emc	STT34007 CLAR400	array disk productRev	C001
emc	STT34007 CLAR400	array disk productRev	C003
emc	STT34007 CLAR400	array disk productRev	C00A
emc	STT34007 CLAR400	array disk productRev	C00B
emc	STT34007 CLAR400	array disk productRev	E80A
emc	WDC WD3000BLFS-01YBU0	datadomain disk firmware	04.04V06
emc	WDC WD3000BLFS-01YBU1	datadomain disk firmware	04.04V06
emc	WILDCAT-S SP CLOVERTOWN (16GB) (110-800-000C)	sps assy_rev	C42
emc	WILDCAT-S SP CLOVERTOWN (16GB) (110-800-000C)	sps assy_rev	C43
emc	WILDCAT-S SP CLOVERTOWN (16GB) (110-800-000C)	sps assy_rev	C44
emc	ZIV2A074 CLAR72	array disk productRev	100H
emc	ZIV2A210 CLAR200	array disk productRev	100H
extreme	BlackDiamond 12804	version	
extreme	BlackDiamond 6808	version	15.0(1)XO1
extreme	BlackDiamond 6808	version	7.7.2
extreme	BlackDiamond 6808	version	7.8.1
extreme	BlackDiamond 6808	version	7.8.2
extreme	BlackDiamond 8810	version	
extreme	Extreme Device	version	
extreme	Summit 200-48	version	
extreme	Summit 200-48	version	7.5e.2
extreme	Summit 200-48	version	7.6e.2
extreme	Summit 200-48	version	7.6e.3
extreme	Summit 200-48	version	7.7e.2
extreme	Summit 200-48	version	7.8e.1
extreme	Summit 200-48	version	7.8e.2
extreme	Summit 300-48	version	7.5e.2
extreme	Summit 400-24	version	
extreme	Summit 400-24	version	7.7e.2
extreme	Summit 400-24	version	7.8e.1
extreme	Summit 400-24	version	7.8e.2
extreme	Summit 400-24t	version	7.8e.2
extreme	Summit 400-48t	version	7.7e.2
extreme	Summit 400-48t	version	7.7e.3
extreme	Summit 400-48t	version	7.8e.1
extreme	Summit 400-48t	version	7.8e.2
extreme	Summit 48i1u	version	7.6.2
extreme	Summit 48i1u	version	7.6.3
extreme	Summit Ver2Stack	version	
extreme	Summit X250-24p	version	
extreme	Summit X250-48p	version	
extreme	Summit X250-48t	version	
extreme	Summit X450a-24t	version	
extreme	Summit X450a-48t	version	
extreme	Summit X450e-48p	version	
extreme	Summit X450e-48p	version	15.0(2)SG
extreme	SummitStack	version	7.8e.2
f5	BIG-IP 1500	version	9.2.5
f5	BIG-IP 1500	version	9.4.3
f5	BIG-IP 1600	version	9.4.6
f5	BIG-IP 1600	version	9.4.8
f5	BIG-IP 3400	version	9.4.3
f5	BIG-IP 3400	version	9.4.5
f5	BIG-IP 3600	version	9.4.5
f5	BIG-IP 8900	version	10.2.1
f5	BIG-IP LTM 6400	version	9.4.5
f5	BIGIP - 3400	version	9.4.3
f5	BIGIP - Virtual	version	10.2.1
